URL,F1A,F1B,F2A,F2B,A1.1,A1.2,I1,I2,I3,R1.1,R1.2,R1.3,duration (s)
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/culebront/culebront.bioschemas.jsonld,2,0,1,2,2,2,1,2,2,2,0,2,36.67
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/gcmecm/gcmecm.bioschemas.jsonld,2,1,1,2,2,2,1,2,2,2,0,2,7.15
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/modil/modil.bioschemas.jsonld,2,1,1,1,2,0,1,1,2,0,0,1,4.46
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/rt_networks/rt_networks.bioschemas.jsonld,2,1,1,2,2,0,1,2,2,0,0,2,2.0
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/seqfeatr/seqfeatr.bioschemas.jsonld,2,1,1,1,2,2,1,1,2,2,0,1,10.21
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/mit_splice_predictor/mit_splice_predictor.bioschemas.jsonld,2,1,1,1,2,2,1,1,2,2,0,1,2.09
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/phynteny_transformer/phynteny_transformer.bioschemas.jsonld,2,0,1,2,2,0,1,2,0,0,0,2,32.22
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/snpspd/snpspd.bioschemas.jsonld,2,1,1,2,2,0,1,2,2,0,0,2,2.18
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/forgi/forgi.bioschemas.jsonld,2,1,1,1,2,2,1,1,2,2,0,1,2.13
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/string/string.bioschemas.jsonld,2,1,1,2,2,0,1,2,2,0,2,2,4.92
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/r-coffee/r-coffee.bioschemas.jsonld,2,1,1,1,2,0,1,1,2,0,0,1,1.99
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/tygs/tygs.bioschemas.jsonld,2,1,1,1,2,2,1,1,2,2,0,1,1.87
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/mtdfreml/mtdfreml.bioschemas.jsonld,2,0,1,2,2,2,1,2,2,2,0,2,1.89
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/siamprom/siamprom.bioschemas.jsonld,2,1,1,2,2,0,1,2,2,0,0,2,1.84
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/d_skewness_f_minimum/d_skewness_f_minimum.bioschemas.jsonld,2,1,1,2,2,0,1,2,2,0,0,2,1.93
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/delia/delia.bioschemas.jsonld,2,1,1,2,2,0,1,2,2,0,0,2,1.96
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/seqminer-variant/seqminer-variant.bioschemas.jsonld,2,1,1,2,2,0,1,2,2,0,0,2,2.04
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/pointsite/pointsite.bioschemas.jsonld,2,0,1,2,2,0,1,2,2,0,0,2,1.96
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/calculate-cycle-numbers-genetic-2-break-distance-problem/calculate-cycle-numbers-genetic-2-break-distance-problem.bioschemas.jsonld,2,0,1,1,2,0,1,1,0,0,0,1,2.31
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/funcluster/funcluster.bioschemas.jsonld,2,1,1,2,2,0,1,2,2,0,0,2,2.9
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/novelseq/novelseq.bioschemas.jsonld,2,1,1,1,2,2,1,1,2,2,0,1,2.31
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/pycotools/pycotools.bioschemas.jsonld,2,1,1,1,2,0,1,1,2,0,0,1,2.2
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/h-dbas/h-dbas.bioschemas.jsonld,2,1,1,1,2,0,1,1,2,0,0,1,2.81
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/spydrpick/spydrpick.bioschemas.jsonld,2,1,1,2,2,0,1,2,2,0,0,2,1.75
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/rprimer/rprimer.bioschemas.jsonld,2,1,1,2,2,2,1,2,2,2,0,2,1.78
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/kled/kled.bioschemas.jsonld,2,1,1,2,2,0,1,2,2,0,0,2,1.82
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/loopgrafter/loopgrafter.bioschemas.jsonld,2,1,1,2,2,0,1,2,2,0,0,2,1.76
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/zinbwave/zinbwave.bioschemas.jsonld,2,0,1,1,2,2,1,1,2,2,0,1,1.81
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/cyclobranch/cyclobranch.bioschemas.jsonld,2,1,1,2,2,2,1,2,2,2,0,2,1.77
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/deephage/deephage.bioschemas.jsonld,2,0,1,2,2,2,1,2,2,2,0,2,1.94
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/ac-caps/ac-caps.bioschemas.jsonld,2,1,1,2,2,0,1,2,2,0,0,2,1.78
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/bastion6/bastion6.bioschemas.jsonld,2,1,1,1,2,0,1,1,2,0,0,1,1.82
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/pyseer/pyseer.bioschemas.jsonld,2,1,1,1,2,2,1,1,2,2,0,1,1.79
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/petitefinder/petitefinder.bioschemas.jsonld,2,1,1,2,2,2,1,2,2,2,0,2,1.78
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/fragbuilder/fragbuilder.bioschemas.jsonld,2,1,1,2,2,2,1,2,2,2,0,2,1.84
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/smallgenometools/smallgenometools.bioschemas.jsonld,2,0,1,2,2,0,1,2,2,0,0,2,1.75
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/cfnet/cfnet.bioschemas.jsonld,2,1,1,2,2,0,1,2,2,0,0,2,1.65
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/mistimm/mistimm.bioschemas.jsonld,2,1,1,1,2,2,1,1,2,2,0,1,1.92
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/goslin/goslin.bioschemas.jsonld,2,1,1,2,2,0,1,2,2,0,2,2,1.74
https://github.com/research-software-ecosystem/content/raw/refs/heads/master/data/exfi/exfi.bioschemas.jsonld,2,1,1,2,2,2,1,2,2,2,0,2,1.84
